,Tottenham Hotspur,Liverpool,Manchester City,Arsenal,West Ham United,Chelsea,Leicester City,Southampton,Everton,Crystal Palace,AFC Bournemouth,Watford,Swansea City,Sunderland,Manchester United,Stoke City,Norwich City,Newcastle United,West Bromwich Albion,Aston Villa
total_scoring_att,659,629,615,571,558,526,522,519,491,469,464,446,441,439,430,419,418,397,388,380
wins,19,16,19,20,16,12,23,18,11,11,11,12,12,9,19,14,9,9,10,3
losses,6,10,10,7,8,12,3,11,13,18,18,17,15,17,10,15,22,19,15,27
touches,"27,014","27,890","28,396","29,337","23,104","27,362","21,710","23,716","25,741","21,861","25,291","22,363","25,989","20,339","27,542","23,663","21,936","22,993","19,822","23,234"
own_goals,3,1,1,3,2,2,,,1,4,,2,5,1,2,,2,2,3,4
total_yel_card,72,61,61,40,58,58,48,57,44,60,53,73,60,64,65,51,61,60,65,75
total_red_card,,3,,4,5,5,3,6,5,2,1,3,1,2,1,4,3,5,3,3
goals,69,63,71,65,65,59,68,59,59,39,45,40,42,48,49,41,39,44,34,27
total_pass,"18,649","19,733","20,488","21,249","15,031","19,664","13,370","15,913","17,947","13,785","17,270","14,530","18,169","12,799","20,070","16,342","14,483","15,118","12,262","15,308"
total_offside,72,91,63,86,82,90,50,98,55,81,66,52,82,88,75,103,93,59,68,42
hit_woodwork,19,16,15,21,19,4,11,13,18,12,8,9,14,10,9,5,11,6,10,7
big_chance_missed,47,36,50,69,39,33,61,43,49,36,25,31,31,29,28,35,30,26,28,20
total_tackle,805,871,729,709,711,790,869,714,730,649,709,794,638,767,760,710,608,793,642,731
total_clearance,"1,046",871,940,849,"1,003",790,"1,040","1,101",994,963,951,931,"1,058","1,277",755,826,"1,212",939,992,973
clearance_off_line,2,2,2,3,8,4,7,6,4,4,2,2,2,7,4,3,4,2,5,5
dispossessed,581,560,556,511,389,413,366,425,453,467,410,391,465,376,522,359,426,435,480,338
clean_sheet,13,11,16,18,11,9,15,12,10,8,7,11,9,7,18,10,5,8,11,6
saves,89,81,86,118,111,122,99,94,127,122,90,121,119,156,90,121,103,115,109,116
penalty_save,,1,,,2,1,,,,,2,3,,,,,,1,,1
total_high_claim,38,41,38,45,50,54,49,36,53,43,58,67,85,64,29,59,63,70,54,66
punches,27,18,41,20,19,27,22,12,14,5,12,66,34,19,13,15,20,31,14,28
