team,total_shots,total_on_target,shot_acc
Arsenal,540,295,54.629629629629626
Aston Villa,349,165,47.277936962750715
Bradford,371,174,46.900269541778975
Charlton,373,217,58.17694369973191
Chelsea,504,240,47.61904761904761
Coventry,389,177,45.501285347043705
Derby,305,141,46.22950819672131
Everton,394,195,49.49238578680203
Ipswich,491,226,46.02851323828921
Leeds,475,228,48.0
Leicester,326,159,48.77300613496933
Liverpool,488,249,51.02459016393443
Man City,377,174,46.15384615384615
Man United,556,264,47.482014388489205
Middlesbrough,352,167,47.44318181818182
Newcastle,414,191,46.13526570048309
Southampton,414,174,42.028985507246375
Sunderland,449,218,48.55233853006681
Tottenham,383,181,47.25848563968668
West Ham,475,229,48.21052631578947
