Rank,Player,Premier League club(s),Country,Goals,Played,Ratio
1,Alan Shearer,"Blackburn Rovers (112), Newcastle United (148)",England,260,441,0.59
2,Wayne Rooney,"Everton (25), Manchester United (183)",England,208,494,0.42
3,Andy Cole,"Newcastle United (43), Manchester United (93), Blackburn Rovers (27), Fulham (12), Manchester City (9), Portsmouth (3), Sunderland (0)",England,187,414,0.45
4,Sergio Agüero,Manchester City,Argentina,180,261,0.69
5,Frank Lampard,"West Ham United (24), Chelsea (147), Manchester City (6)",England,177,609,0.29
6,Thierry Henry,Arsenal,France,175,258,0.68
7,Robbie Fowler,"Liverpool (128), Leeds United (14), Manchester City (21), Blackburn Rovers (0)",England,163,379,0.43
8,Jermain Defoe,"West Ham United (18), Tottenham Hotspur (91), Portsmouth (15), Sunderland (34), Bournemouth (4)",England,162,496,0.33
9,Michael Owen,"Liverpool (118), Newcastle United (26), Manchester United (5), Stoke City (1)",England,150,326,0.46
10,Les Ferdinand,"Queens Park Rangers (60), Newcastle United (41), Tottenham Hotspur (33), West Ham United (2), Leicester City (12), Bolton Wanderers (1)",England,149,351,0.42
11,Teddy Sheringham,"Nottingham Forest (1), Tottenham Hotspur (97), Manchester United (31), Portsmouth(9), West Ham United (8)",England,146,418,0.35
12,Robin van Persie,"Arsenal (96), Manchester United (48)",Netherlands,144,280,0.51
13,Harry Kane,"Tottenham Hotspur (136), Norwich City (0)",England,136,201,0.68
14,Jimmy Floyd Hasselbaink,"Leeds United (34), Chelsea (69), Middlesbrough (22), Charlton Athletic (2)",Netherlands,127,288,0.44
15,Robbie Keane,"Coventry City (12), Leeds United (13), Tottenham Hotspur (91), Liverpool (5), West Ham United (2), Aston Villa (3)",Republic of Ireland,126,349,0.36
16,Nicolas Anelka,"Arsenal (23), Liverpool (4), Manchester City (37), Bolton Wanderers (21), Chelsea (38), West Bromwich Albion (2)",France,125,364,0.34
17,Dwight Yorke,"Aston Villa (60), Manchester United (48), Blackburn Rovers (12), Birmingham City (2), Sunderland (1)",Trinidad and Tobago,123,375,0.33
18,Steven Gerrard,Liverpool,England,120,504,0.24
19,Ian Wright,"Arsenal (104), West Ham United (9)",England,113,213,0.53
19,Romelu Lukaku,"Chelsea (0), West Bromwich Albion (17), Everton (68), Manchester United (28)",Belgium,113,252,0.45
21,Dion Dublin,"Manchester United (2), Coventry City (61), Aston Villa (48)",England,111,312,0.36
22,Emile Heskey,"Leicester City (33), Liverpool (39), Birmingham City (14), Wigan Athletic (15), Aston Villa (9)",England,110,516,0.21
23,Ryan Giggs,Manchester United,Wales,109,632,0.17
24,Peter Crouch,"Aston Villa (6), Southampton (12), Liverpool (22), Portsmouth (11), Tottenham Hotspur (12), Stoke City (45), Burnley (0)",England,108,468,0.23
25,Paul Scholes,Manchester United,England,107,499,0.21
26,Darren Bent,"Ipswich Town (1), Charlton Athletic (31), Tottenham Hotspur (18), Sunderland (32), Aston Villa (21), Fulham (3)",England,106,276,0.38
27,Didier Drogba,Chelsea,Ivory Coast,104,254,0.41
28,Matt Le Tissier,Southampton,England,100,270,0.37
